epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,585.981,1.27246,0.87,0.995,0.39972,0.000237619,0.000237619,0.000237619
2,1248.48,0.38047,0.923,0.996,0.21835,0.000452076,0.000452076,0.000452076
3,2130.11,0.27823,0.942,1,0.15542,0.000642971,0.000642971,0.000642971
